          s_name           | numwait 
---------------------------+---------
 Supplier#000004174        |      23
 Supplier#000059439        |      23
 Supplier#000078513        |      22
 Supplier#000047425        |      21
 Supplier#000016575        |      20
 Supplier#000023032        |      20
 Supplier#000071633        |      20
 Supplier#000077607        |      20
 Supplier#000004066        |      19
 Supplier#000005548        |      19
 Supplier#000029624        |      19
 Supplier#000030764        |      19
 Supplier#000035489        |      19
 Supplier#000041129        |      19
 Supplier#000042985        |      19
 Supplier#000057575        |      19
 Supplier#000064867        |      19
 Supplier#000066814        |      19
 Supplier#000001301        |      18
 Supplier#000005575        |      18
 Supplier#000005743        |      18
 Supplier#000006998        |      18
 Supplier#000008249        |      18
 Supplier#000011660        |      18
 Supplier#000026350        |      18
 Supplier#000026424        |      18
 Supplier#000028572        |      18
 Supplier#000030521        |      18
 Supplier#000031018        |      18
 Supplier#000042656        |      18
 Supplier#000045257        |      18
 Supplier#000048576        |      18
 Supplier#000052231        |      18
 Supplier#000054497        |      18
 Supplier#000055003        |      18
 Supplier#000056100        |      18
 Supplier#000058105        |      18
 Supplier#000062546        |      18
 Supplier#000062845        |      18
 Supplier#000076718        |      18
 Supplier#000000098        |      17
 Supplier#000000804        |      17
 Supplier#000005967        |      17
 Supplier#000007263        |      17
 Supplier#000008339        |      17
 Supplier#000010772        |      17
 Supplier#000013064        |      17
 Supplier#000013732        |      17
 Supplier#000017916        |      17
 Supplier#000018227        |      17
 Supplier#000020536        |      17
 Supplier#000024149        |      17
 Supplier#000029006        |      17
 Supplier#000029049        |      17
 Supplier#000029835        |      17
 Supplier#000030779        |      17
 Supplier#000031741        |      17
 Supplier#000035609        |      17
 Supplier#000035803        |      17
 Supplier#000037639        |      17
 Supplier#000041630        |      17
 Supplier#000044736        |      17
 Supplier#000044982        |      17
 Supplier#000045363        |      17
 Supplier#000045373        |      17
 Supplier#000045581        |      17
 Supplier#000045882        |      17
 Supplier#000047421        |      17
 Supplier#000049302        |      17
 Supplier#000049387        |      17
 Supplier#000054908        |      17
 Supplier#000055754        |      17
 Supplier#000058385        |      17
 Supplier#000058668        |      17
 Supplier#000058701        |      17
 Supplier#000060284        |      17
 Supplier#000063021        |      17
 Supplier#000063689        |      17
 Supplier#000064024        |      17
 Supplier#000064042        |      17
 Supplier#000064690        |      17
 Supplier#000066155        |      17
 Supplier#000068286        |      17
 Supplier#000070952        |      17
 Supplier#000071299        |      17
 Supplier#000073021        |      17
 Supplier#000073446        |      17
 Supplier#000076266        |      17
 Supplier#000077386        |      17
 Supplier#000001637        |      16
 Supplier#000001710        |      16
 Supplier#000003011        |      16
 Supplier#000003277        |      16
 Supplier#000003773        |      16
 Supplier#000005835        |      16
 Supplier#000006579        |      16
 Supplier#000006888        |      16
 Supplier#000007816        |      16
 Supplier#000009535        |      16
 Supplier#000010641        |      16
(100 rows)

