 c_count | custdist 
---------+----------
       0 |  1600080
      10 |   212556
       9 |   209003
      11 |   200439
       8 |   187116
      12 |   179585
      13 |   158699
      19 |   149792
       7 |   149272
      18 |   148766
      20 |   145589
      14 |   145062
      17 |   144921
      16 |   139243
      15 |   138332
      21 |   136296
      22 |   122141
      23 |   104906
       6 |   104030
      24 |    85747
      25 |    67383
       5 |    62668
      26 |    50833
      27 |    36896
       4 |    31204
      28 |    25935
      29 |    17682
       3 |    12383
      30 |    11400
      31 |     7173
      32 |     4479
       2 |     3719
      33 |     2606
      34 |     1512
      35 |      857
       1 |      767
      36 |      457
      37 |      239
      38 |      106
      39 |       64
      40 |       33
      41 |       14
      42 |        9
      43 |        4
      45 |        1
      44 |        1
(46 rows)

