          nation           | o_year |   sum_profit   
---------------------------+--------+----------------
 ALGERIA                   |   1998 |  53789245.3352
 ALGERIA                   |   1997 |  91948572.4022
 ALGERIA                   |   1996 |  96839697.4851
 ALGERIA                   |   1995 |  91322909.2744
 ALGERIA                   |   1994 |  90874863.9368
 ALGERIA                   |   1993 |  89110752.7761
 ALGERIA                   |   1992 |  93972777.2287
 ARGENTINA                 |   1998 |  57208683.3112
 ARGENTINA                 |   1997 |  95788347.0076
 ARGENTINA                 |   1996 |  97582609.2401
 ARGENTINA                 |   1995 |  94458324.0755
 ARGENTINA                 |   1994 |  97630611.6171
 ARGENTINA                 |   1993 |  96275827.7741
 ARGENTINA                 |   1992 |  97897547.7106
 BRAZIL                    |   1998 |  57769694.8911
 BRAZIL                    |   1997 |  96941863.8562
 BRAZIL                    |   1996 |  97228045.2274
 BRAZIL                    |   1995 |  98787634.8331
 BRAZIL                    |   1994 |  98263742.6998
 BRAZIL                    |   1993 |  98339099.8526
 BRAZIL                    |   1992 |  96838139.1006
 CANADA                    |   1998 |  55754617.0702
 CANADA                    |   1997 |  97665231.6455
 CANADA                    |   1996 |  94183816.3223
 CANADA                    |   1995 |  95633000.0406
 CANADA                    |   1994 |  95031499.0642
 CANADA                    |   1993 |  94427749.8673
 CANADA                    |   1992 |  97625437.1528
 CHINA                     |   1998 |  53576234.4380
 CHINA                     |   1997 |  97815692.6839
 CHINA                     |   1996 |  94823210.2431
 CHINA                     |   1995 |  97333531.7616
 CHINA                     |   1994 |  94011629.9208
 CHINA                     |   1993 |  94812936.8998
 CHINA                     |   1992 |  92556769.1484
 EGYPT                     |   1998 |  56226707.3775
 EGYPT                     |   1997 |  96038317.0500
 EGYPT                     |   1996 |  99884249.3639
 EGYPT                     |   1995 |  98503389.7661
 EGYPT                     |   1994 |  97060780.5934
 EGYPT                     |   1993 |  97853868.4120
 EGYPT                     |   1992 |  96366773.4797
 ETHIOPIA                  |   1998 |  52163698.6088
 ETHIOPIA                  |   1997 |  87877216.4573
 ETHIOPIA                  |   1996 |  92086254.3932
 ETHIOPIA                  |   1995 |  92724506.7211
 ETHIOPIA                  |   1994 |  90969809.7792
 ETHIOPIA                  |   1993 |  90287071.8606
 ETHIOPIA                  |   1992 |  94214837.1685
 FRANCE                    |   1998 |  55398466.3092
 FRANCE                    |   1997 |  91315720.8175
 FRANCE                    |   1996 |  90712870.1592
 FRANCE                    |   1995 |  95565489.4295
 FRANCE                    |   1994 |  95273237.9425
 FRANCE                    |   1993 |  93174452.6865
 FRANCE                    |   1992 |  95222118.6438
 GERMANY                   |   1998 |  55664977.3993
 GERMANY                   |   1997 |  96465905.9058
 GERMANY                   |   1996 |  94366778.6583
 GERMANY                   |   1995 |  93493200.3860
 GERMANY                   |   1994 |  96314123.1373
 GERMANY                   |   1993 |  99806295.8368
 GERMANY                   |   1992 |  97442733.5186
 INDIA                     |   1998 |  56832705.1916
 INDIA                     |   1997 |  93955765.9895
 INDIA                     |   1996 |  92211131.3991
 INDIA                     |   1995 |  93976638.9472
 INDIA                     |   1994 |  92983168.2870
 INDIA                     |   1993 |  93073019.2975
 INDIA                     |   1992 |  92628901.9949
 INDONESIA                 |   1998 |  57572658.9718
 INDONESIA                 |   1997 |  99417774.6498
 INDONESIA                 |   1996 |  98781367.1289
 INDONESIA                 |   1995 |  99160910.8128
 INDONESIA                 |   1994 |  99590474.7956
 INDONESIA                 |   1993 |  98869411.7143
 INDONESIA                 |   1992 |  98964175.0296
 IRAN                      |   1998 |  51888749.1881
 IRAN                      |   1997 |  91897028.1844
 IRAN                      |   1996 |  92231454.9151
 IRAN                      |   1995 |  89304112.9258
 IRAN                      |   1994 |  92242170.4298
 IRAN                      |   1993 |  90563783.2859
 IRAN                      |   1992 |  94976701.3295
 IRAQ                      |   1998 |  58574598.6912
 IRAQ                      |   1997 | 102556627.4782
 IRAQ                      |   1996 | 100405110.2956
 IRAQ                      |   1995 |  99831122.8900
 IRAQ                      |   1994 | 102839849.6709
 IRAQ                      |   1993 | 101965870.1866
 IRAQ                      |   1992 | 102735813.7359
 JAPAN                     |   1998 |  52673655.7854
 JAPAN                     |   1997 |  89371299.0402
 JAPAN                     |   1996 |  92295765.6247
 JAPAN                     |   1995 |  92461273.2306
 JAPAN                     |   1994 |  90688624.5325
 JAPAN                     |   1993 |  92108854.3306
 JAPAN                     |   1992 |  87774290.0794
 JORDAN                    |   1998 |  56200202.4716
 JORDAN                    |   1997 | 100109671.6891
 JORDAN                    |   1996 |  95825201.2945
 JORDAN                    |   1995 |  95953053.0239
 JORDAN                    |   1994 |  97091899.0176
 JORDAN                    |   1993 |  99000109.2899
 JORDAN                    |   1992 |  94200471.1815
 KENYA                     |   1998 |  52714110.4142
 KENYA                     |   1997 |  86722606.0002
 KENYA                     |   1996 |  85281440.3524
 KENYA                     |   1995 |  85984189.3419
 KENYA                     |   1994 |  85260699.2272
 KENYA                     |   1993 |  83052283.7864
 KENYA                     |   1992 |  87603668.1543
 MOROCCO                   |   1998 |  51826316.7382
 MOROCCO                   |   1997 |  86651436.7463
 MOROCCO                   |   1996 |  89280272.2473
 MOROCCO                   |   1995 |  88160728.2227
 MOROCCO                   |   1994 |  86378117.9449
 MOROCCO                   |   1993 |  87891319.2675
 MOROCCO                   |   1992 |  90629680.1069
 MOZAMBIQUE                |   1998 |  54949385.7145
 MOZAMBIQUE                |   1997 |  93669868.8032
 MOZAMBIQUE                |   1996 |  93851988.9382
 MOZAMBIQUE                |   1995 |  92855920.0203
 MOZAMBIQUE                |   1994 |  95298363.9127
 MOZAMBIQUE                |   1993 |  95181902.3968
 MOZAMBIQUE                |   1992 |  94917682.1234
 PERU                      |   1998 |  59274095.9416
 PERU                      |   1997 |  96350748.1066
 PERU                      |   1996 |  99123210.9779
 PERU                      |   1995 |  99326897.7479
 PERU                      |   1994 | 100007680.4450
 PERU                      |   1993 |  97234371.5980
 PERU                      |   1992 | 101119901.1437
 ROMANIA                   |   1998 |  52217297.5748
 ROMANIA                   |   1997 |  90082058.1630
 ROMANIA                   |   1996 |  93645107.2650
 ROMANIA                   |   1995 |  95509555.2721
 ROMANIA                   |   1994 |  93962574.4041
 ROMANIA                   |   1993 |  93349823.2023
 ROMANIA                   |   1992 |  96011208.6064
 RUSSIA                    |   1998 |  54935116.3791
 RUSSIA                    |   1997 |  97542682.1239
 RUSSIA                    |   1996 |  96521246.2548
 RUSSIA                    |   1995 |  93659575.3211
 RUSSIA                    |   1994 |  95886328.1135
 RUSSIA                    |   1993 |  97263585.8569
 RUSSIA                    |   1992 |  98467276.0723
 SAUDI ARABIA              |   1998 |  56973512.7742
 SAUDI ARABIA              |   1997 |  95258229.3734
 SAUDI ARABIA              |   1996 |  96100744.1671
 SAUDI ARABIA              |   1995 |  97673121.7000
 SAUDI ARABIA              |   1994 |  95535642.8117
 SAUDI ARABIA              |   1993 |  94885384.9046
 SAUDI ARABIA              |   1992 |  97214416.1840
 UNITED KINGDOM            |   1998 |  55587440.3541
 UNITED KINGDOM            |   1997 |  93473860.9660
 UNITED KINGDOM            |   1996 |  92323172.5491
 UNITED KINGDOM            |   1995 |  93604956.4356
 UNITED KINGDOM            |   1994 |  94153230.8631
 UNITED KINGDOM            |   1993 |  93066969.8994
 UNITED KINGDOM            |   1992 |  93948921.4923
 UNITED STATES             |   1998 |  54983252.8235
 UNITED STATES             |   1997 |  94349973.7575
 UNITED STATES             |   1996 |  97873724.2042
 UNITED STATES             |   1995 |  99301569.2630
 UNITED STATES             |   1994 |  92358518.2958
 UNITED STATES             |   1993 |  94217072.8495
 UNITED STATES             |   1992 |  97361952.6559
 VIETNAM                   |   1998 |  53197226.1061
 VIETNAM                   |   1997 |  90769604.3199
 VIETNAM                   |   1996 |  91519072.0874
 VIETNAM                   |   1995 |  91616157.4901
 VIETNAM                   |   1994 |  89631757.2009
 VIETNAM                   |   1993 |  91981782.0853
 VIETNAM                   |   1992 |  90493486.6958
(175 rows)

