          s_name           | numwait 
---------------------------+---------
 Supplier#000139084        |      23
 Supplier#000272353        |      23
 Supplier#000004230        |      22
 Supplier#000282951        |      22
 Supplier#000290727        |      22
 Supplier#000061316        |      21
 Supplier#000070920        |      21
 Supplier#000082759        |      21
 Supplier#000127775        |      21
 Supplier#000187664        |      21
 Supplier#000228566        |      21
 Supplier#000232947        |      21
 Supplier#000253950        |      21
 Supplier#000280757        |      21
 Supplier#000003208        |      20
 Supplier#000024545        |      20
 Supplier#000054992        |      20
 Supplier#000063926        |      20
 Supplier#000083912        |      20
 Supplier#000091666        |      20
 Supplier#000124707        |      20
 Supplier#000147080        |      20
 Supplier#000150751        |      20
 Supplier#000192711        |      20
 Supplier#000199295        |      20
 Supplier#000200341        |      20
 Supplier#000210962        |      20
 Supplier#000221656        |      20
 Supplier#000235621        |      20
 Supplier#000276525        |      20
 Supplier#000288291        |      20
 Supplier#000300579        |      20
 Supplier#000303417        |      20
 Supplier#000313176        |      20
 Supplier#000002790        |      19
 Supplier#000006445        |      19
 Supplier#000023387        |      19
 Supplier#000027609        |      19
 Supplier#000039764        |      19
 Supplier#000044189        |      19
 Supplier#000049539        |      19
 Supplier#000058488        |      19
 Supplier#000066986        |      19
 Supplier#000070102        |      19
 Supplier#000075363        |      19
 Supplier#000079354        |      19
 Supplier#000080000        |      19
 Supplier#000086424        |      19
 Supplier#000094258        |      19
 Supplier#000097285        |      19
 Supplier#000102821        |      19
 Supplier#000104537        |      19
 Supplier#000107127        |      19
 Supplier#000108949        |      19
 Supplier#000119534        |      19
 Supplier#000121560        |      19
 Supplier#000139734        |      19
 Supplier#000159467        |      19
 Supplier#000164937        |      19
 Supplier#000172761        |      19
 Supplier#000180057        |      19
 Supplier#000184622        |      19
 Supplier#000229528        |      19
 Supplier#000237775        |      19
 Supplier#000237950        |      19
 Supplier#000246166        |      19
 Supplier#000252535        |      19
 Supplier#000263510        |      19
 Supplier#000271376        |      19
 Supplier#000271785        |      19
 Supplier#000272697        |      19
 Supplier#000287549        |      19
 Supplier#000292035        |      19
 Supplier#000296918        |      19
 Supplier#000298374        |      19
 Supplier#000308659        |      19
 Supplier#000314692        |      19
 Supplier#000000015        |      18
 Supplier#000017599        |      18
 Supplier#000021998        |      18
 Supplier#000030188        |      18
 Supplier#000030806        |      18
 Supplier#000035787        |      18
 Supplier#000055430        |      18
 Supplier#000059469        |      18
 Supplier#000062480        |      18
 Supplier#000064939        |      18
 Supplier#000070042        |      18
 Supplier#000072962        |      18
 Supplier#000073699        |      18
 Supplier#000078017        |      18
 Supplier#000081326        |      18
 Supplier#000086926        |      18
 Supplier#000091581        |      18
 Supplier#000095915        |      18
 Supplier#000099729        |      18
 Supplier#000100373        |      18
 Supplier#000101294        |      18
 Supplier#000101396        |      18
 Supplier#000102070        |      18
(100 rows)

