 ps_partkey |    value    
------------+-------------
      80680 | 17118721.04
     213461 | 16954570.56
     132492 | 16627741.48
     326616 | 16620278.95
      54891 | 16533868.66
     176665 | 16531768.55
     192574 | 16425664.24
      55657 | 16043742.61
     144840 | 16023979.84
     351915 | 15981402.00
     104624 | 15915829.17
     243167 | 15747752.00
     381597 | 15529941.57
     269123 | 15383219.87
     310136 | 15365243.27
     138377 | 15308078.95
     112399 | 15043551.61
     151483 | 15037514.02
     246623 | 14713251.03
     174622 | 14669217.79
      84057 | 14649867.91
      15426 | 14615914.96
       7531 | 14550236.80
     186026 | 14549747.91
      39524 | 14530627.40
     190591 | 14311826.80
     280905 | 14204883.41
     347625 | 14045528.34
     232791 | 14015171.80
     314171 | 13992079.30
     307601 | 13983719.52
     104500 | 13972657.63
     103443 | 13916385.98
     152395 | 13853035.96
     290792 | 13843902.68
      66799 | 13826569.65
     302646 | 13787882.76
     285055 | 13776690.09
     122595 | 13776220.37
     372315 | 13720801.99
      19488 | 13662481.53
      84199 | 13509585.46
     372854 | 13500559.88
      44019 | 13471499.64
     150591 | 13468302.30
     204747 | 13466531.44
     172898 | 13463253.57
     335903 | 13388695.66
      35796 | 13341424.21
     100502 | 13287444.46
     195185 | 13263352.78
     296473 | 13227228.89
     285626 | 13060834.26
     223384 | 13024882.60
     115788 | 13015711.78
     323473 | 12980154.72
      88817 | 12970964.13
     100426 | 12912166.97
     262367 | 12879499.86
     338250 | 12766831.40
     262989 | 12766007.57
      58371 | 12718938.27
      55200 | 12717724.98
     137350 | 12712767.46
     306291 | 12700590.90
     260516 | 12681545.49
     383035 | 12659663.70
     356967 | 12648493.44
     314809 | 12629007.84
     260564 | 12622934.71
     246124 | 12619385.30
     289241 | 12615087.10
     298399 | 12579180.74
     226740 | 12575550.59
     142189 | 12572073.04
     166998 | 12548790.56
     383282 | 12520316.05
     321436 | 12494660.03
     334130 | 12484828.95
      84111 | 12380174.64
     286079 | 12379464.72
     100793 | 12374533.24
     388995 | 12358584.81
     309834 | 12354396.26
     310629 | 12354029.40
     233239 | 12343144.38
     372264 | 12300206.82
     223833 | 12277642.84
     305525 | 12266633.55
      77289 | 12222379.32
     345363 | 12213567.72
     136616 | 12212255.68
     100370 | 12195308.41
     146623 | 12174368.00
      95139 | 12168679.40
     303413 | 12167546.62
      87311 | 12158794.32
     191334 | 12152972.92
     231965 | 12147508.11
     166029 | 12117029.80
      89647 | 12103784.70
     329114 | 12083698.52
      30483 | 12073473.02
     269281 | 12063998.45
     305841 | 12059513.04
     167949 | 11993177.58
     399688 | 11987309.10
      16924 | 11976121.70
     191515 | 11968616.27
      30240 | 11956541.49
