  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#23   | SMALL ANODIZED NICKEL     |     30 |          144
 Brand#32   | SMALL ANODIZED STEEL      |     38 |          144
 Brand#44   | MEDIUM ANODIZED TIN       |     41 |          144
 Brand#51   | LARGE ANODIZED BRASS      |     30 |          140
 Brand#11   | MEDIUM ANODIZED COPPER    |     12 |          136
 Brand#13   | SMALL BRUSHED TIN         |     38 |          136
 Brand#33   | SMALL BURNISHED NICKEL    |     12 |          132
 Brand#33   | STANDARD PLATED COPPER    |     12 |          132
 Brand#43   | MEDIUM PLATED TIN         |     38 |          132
 Brand#44   | MEDIUM POLISHED COPPER    |     45 |          132
 Brand#51   | PROMO PLATED STEEL        |     28 |          132
 Brand#53   | SMALL ANODIZED NICKEL     |     30 |          132
 Brand#35   | STANDARD BURNISHED NICKEL |     28 |          131
 Brand#52   | MEDIUM POLISHED COPPER    |     38 |          131
 Brand#53   | ECONOMY BURNISHED COPPER  |     45 |          131
 Brand#11   | ECONOMY POLISHED COPPER   |     41 |          128
 Brand#11   | SMALL BRUSHED STEEL       |     45 |          128
 Brand#14   | LARGE POLISHED STEEL      |     38 |          128
 Brand#23   | LARGE BURNISHED COPPER    |     38 |          128
 Brand#25   | ECONOMY BRUSHED COPPER    |     43 |          128
 Brand#25   | MEDIUM PLATED COPPER      |     41 |          128
 Brand#31   | ECONOMY BURNISHED TIN     |     45 |          128
 Brand#33   | MEDIUM PLATED STEEL       |     30 |          128
 Brand#35   | ECONOMY POLISHED COPPER   |     28 |          128
 Brand#35   | STANDARD ANODIZED COPPER  |     28 |          128
 Brand#41   | LARGE POLISHED TIN        |     41 |          128
 Brand#54   | LARGE BURNISHED COPPER    |     38 |          128
 Brand#11   | SMALL BRUSHED STEEL       |     41 |          124
 Brand#13   | MEDIUM BURNISHED STEEL    |     38 |          124
 Brand#15   | ECONOMY BURNISHED NICKEL  |     45 |          124
 Brand#21   | ECONOMY BRUSHED NICKEL    |     41 |          124
 Brand#22   | ECONOMY BURNISHED BRASS   |     12 |          124
 Brand#25   | STANDARD PLATED COPPER    |     45 |          124
 Brand#31   | ECONOMY BURNISHED COPPER  |     12 |          124
 Brand#31   | STANDARD PLATED NICKEL    |     38 |          124
 Brand#33   | ECONOMY PLATED COPPER     |     45 |          124
 Brand#33   | PROMO ANODIZED TIN        |      8 |          124
 Brand#44   | STANDARD BURNISHED STEEL  |     45 |          124
 Brand#53   | SMALL PLATED BRASS        |      8 |          124
 Brand#53   | SMALL POLISHED BRASS      |      8 |          124
 Brand#54   | ECONOMY POLISHED BRASS    |     30 |          124
 Brand#54   | STANDARD BRUSHED COPPER   |     45 |          124
 Brand#22   | ECONOMY PLATED TIN        |     12 |          123
 Brand#45   | SMALL PLATED STEEL        |     38 |          123
 Brand#11   | ECONOMY ANODIZED COPPER   |     28 |          120
 Brand#13   | ECONOMY ANODIZED BRASS    |     30 |          120
 Brand#13   | SMALL ANODIZED TIN        |     38 |          120
 Brand#15   | ECONOMY BURNISHED COPPER  |      8 |          120
 Brand#21   | LARGE ANODIZED TIN        |     45 |          120
 Brand#21   | PROMO POLISHED STEEL      |     41 |          120
 Brand#22   | ECONOMY POLISHED BRASS    |      8 |          120
 Brand#22   | LARGE BRUSHED TIN         |     43 |          120
 Brand#22   | LARGE PLATED COPPER       |     45 |          120
 Brand#23   | SMALL ANODIZED STEEL      |     12 |          120
 Brand#23   | STANDARD PLATED STEEL     |     12 |          120
 Brand#24   | PROMO ANODIZED STEEL      |     43 |          120
 Brand#25   | PROMO ANODIZED BRASS      |     12 |          120
 Brand#31   | SMALL BRUSHED TIN         |      8 |          120
 Brand#32   | LARGE BRUSHED BRASS       |     28 |          120
 Brand#43   | LARGE POLISHED TIN        |     45 |          120
 Brand#43   | MEDIUM PLATED NICKEL      |     28 |          120
 Brand#44   | ECONOMY ANODIZED COPPER   |     38 |          120
