 ps_partkey |    value    
------------+-------------
     116376 | 21905106.01
     762451 | 18810404.53
      19629 | 18080343.90
     416363 | 17645561.29
     766597 | 16760810.73
     102171 | 16694591.94
     681613 | 16688278.29
     129336 | 16554893.21
     340190 | 15998576.73
     326682 | 15910917.87
      74167 | 15900996.08
     723991 | 15736402.18
     411885 | 15712925.41
     720143 | 15644468.52
     762195 | 15596934.16
     275369 | 15578479.00
     471046 | 15521211.67
     104335 | 15517213.34
      33518 | 15451912.06
     485642 | 15355245.72
     587033 | 15355096.15
     552815 | 15331532.62
      93328 | 15234904.28
     727912 | 15186230.62
     178121 | 15160046.25
     111508 | 15140105.50
     571873 | 15094515.26
     320174 | 15090825.42
     271658 | 15072154.14
     666274 | 15067826.53
     783509 | 15039251.21
     531353 | 15002272.71
     725807 | 14953346.42
     250591 | 14932762.70
     491635 | 14887369.14
     612867 | 14877968.30
     302372 | 14845405.72
     139339 | 14794444.32
      18137 | 14778799.76
     799844 | 14710321.05
      47516 | 14649511.73
     742188 | 14626753.98
      51947 | 14599384.75
     122165 | 14536934.90
     420058 | 14517939.64
     151939 | 14436165.25
     594167 | 14427334.14
     181715 | 14427170.26
     489489 | 14350198.56
     230782 | 14339162.76
     290161 | 14337263.42
      40379 | 14288073.38
      97487 | 14210661.92
      76965 | 14204302.53
     657637 | 14156740.23
     727578 | 14134861.22
     421639 | 14129896.81
     779019 | 14124714.89
     407648 | 14116109.00
     516855 | 14084606.36
     645468 | 14041782.39
     767165 | 13990985.87
     509618 | 13943107.20
     465806 | 13927174.56
     302769 | 13816715.41
     526452 | 13812502.91
     758864 | 13773469.48
     256579 | 13729960.68
     306052 | 13724576.60
     229927 | 13723645.38
     751853 | 13712738.82
     451873 | 13659725.55
     698095 | 13645573.79
     620414 | 13628980.25
     321915 | 13619575.44
     222898 | 13615383.28
     745146 | 13610280.44
     297032 | 13605120.72
     565642 | 13604519.10
     239752 | 13579600.58
     509825 | 13579420.29
     242255 | 13555250.26
     474982 | 13512642.87
     120537 | 13463646.20
      14302 | 13445939.19
      66805 | 13432669.69
     130912 | 13431611.60
     681336 | 13424278.20
     296267 | 13402966.55
     565889 | 13364122.26
     276844 | 13353768.11
     268464 | 13344566.00
     499861 | 13338905.46
     538336 | 13334400.70
      95571 | 13324562.65
      96770 | 13292376.52
     197868 | 13254155.78
     458362 | 13239180.40
     390361 | 13196419.28
     110909 | 13163722.05
     651485 | 13132104.42
     568981 | 13130527.55
     356867 | 13095106.86
     574465 | 13076029.42
     687218 | 13064741.44
     665741 | 13058740.24
     525612 | 13050371.30
     785867 | 13023039.30
     699578 | 13014150.90
     161160 | 12995723.90
     756059 | 12970008.55
     744284 | 12963162.78
     450740 | 12957110.01
     357408 | 12945978.63
     231350 | 12939526.84
     488732 | 12919821.46
     624809 | 12919803.78
     794984 | 12913345.76
     796775 | 12893974.80
     286038 | 12886068.12
     219025 | 12885181.41
     130490 | 12864424.28
     316376 | 12847124.29
     606755 | 12838208.38
     634456 | 12835239.55
     351880 | 12830793.83
     723718 | 12824545.42
      88054 | 12819224.48
     116339 | 12817607.87
     568726 | 12799229.64
     589227 | 12799119.78
     139777 | 12787540.47
     648389 | 12786221.44
     472122 | 12781690.78
     224292 | 12776597.09
     480780 | 12749374.55
     771998 | 12746327.28
     684508 | 12741082.48
     232863 | 12730385.99
     425622 | 12712233.54
     531297 | 12708798.24
     440471 | 12706349.96
     374430 | 12699166.96
     704909 | 12698253.69
     722428 | 12669954.28
     414078 | 12667159.10
     406606 | 12653307.45
     327227 | 12648889.90
     644936 | 12641418.14
     567720 | 12633191.39
     621865 | 12611780.09
     653821 | 12585669.81
      15329 | 12583130.71
     483062 | 12573287.57
     718372 | 12570769.19
     671629 | 12570190.71
      65682 | 12554082.76
     695384 | 12554019.99
     657934 | 12552036.37
     589038 | 12539686.64
     188324 | 12538810.12
     546975 | 12533513.46
     690328 | 12531896.07
     568507 | 12523909.58
     477520 | 12515861.12
       6656 | 12511100.50
     547619 | 12488249.16
     227486 | 12485103.15
     437112 | 12480591.78
     689021 | 12438160.38
     685301 | 12424162.20
     267510 | 12422853.14
     170423 | 12400705.51
      69627 | 12398698.86
     338786 | 12396992.97
     195644 | 12388584.99
     171912 | 12374130.43
     452883 | 12363302.21
     250792 | 12352697.44
     760187 | 12349011.89
       1213 | 12329708.10
      25807 | 12323688.08
      59440 | 12317283.61
     324154 | 12292118.68
     681847 | 12287299.59
     799717 | 12267840.22
     452835 | 12257108.24
     367600 | 12232312.18
      61904 | 12230304.48
     325654 | 12220821.73
     108622 | 12214811.79
     604121 | 12212875.84
     716755 | 12206712.61
      41061 | 12204211.27
      36656 | 12202293.99
     410674 | 12194419.24
     177876 | 12163097.86
     628780 | 12148236.18
     570383 | 12140605.83
       5318 | 12139759.17
     548246 | 12129967.57
     238663 | 12129594.96
     266585 | 12128645.04
     468317 | 12123825.16
     606047 | 12114600.34
     390070 | 12104500.52
     275228 | 12102291.52
     685886 | 12080770.35
     347585 | 12073676.84
     318827 | 12073628.68
     701400 | 12056456.30
     489849 | 12055792.44
     671719 | 12040872.49
     650584 | 12039268.50
     242356 | 12029386.88
     701302 | 12025323.82
     689308 | 12024001.86
     506657 | 12021270.86
     739137 | 12012889.08
     533462 | 12006974.27
     589826 | 12001795.60
     117180 | 11997665.35
     162890 | 11980554.73
     467093 | 11974655.54
     565715 | 11962729.44
     617039 | 11962155.84
     377413 | 11958307.59
     463025 | 11952065.04
     504972 | 11950300.87
     389034 | 11949358.82
     356883 | 11947342.34
     459502 | 11927235.90
     770369 | 11923633.32
     759752 | 11913211.32
     511611 | 11905321.68
     599846 | 11888557.85
     203645 | 11886310.62
     552670 | 11879442.93
     148183 | 11877781.68
      48964 | 11870627.20
     324193 | 11866791.01
     169335 | 11855230.32
     497191 | 11848292.76
     145508 | 11844711.45
     189328 | 11837694.85
     781886 | 11816375.16
      57498 | 11785041.19
     210913 | 11782007.04
     486668 | 11761049.04
     698759 | 11752382.08
     115937 | 11750793.23
     168670 | 11739177.85
     203255 | 11734411.37
     215633 | 11732652.06
     492873 | 11727297.48
     581623 | 11722243.42
     648729 | 11721885.56
     766361 | 11710057.80
     491752 | 11707258.61
     259205 | 11706372.20
     165382 | 11680527.08
      37620 | 11678255.16
     786572 | 11677005.97
     536970 | 11661907.35
     397591 | 11654144.15
     446097 | 11653470.64
      36015 | 11651930.28
     795348 | 11650293.06
     560371 | 11643854.16
     545442 | 11636985.09
     296662 | 11628884.74
     325303 | 11622856.95
        823 | 11621735.65
     679844 | 11609270.91
      19560 | 11584946.79
     565648 | 11581489.18
     251582 | 11577521.19
     129109 | 11571109.35
     452843 | 11563657.37
     398801 | 11552192.18
     104164 | 11549711.70
     519878 | 11546962.36
     347500 | 11537091.51
     345918 | 11532933.56
     603265 | 11531734.46
     581444 | 11491758.55
     539784 | 11482641.78
     413328 | 11472943.65
     605382 | 11463850.28
      78664 | 11458135.92
     677099 | 11454293.24
     631235 | 11451387.17
     695903 | 11442680.94
     394005 | 11442481.17
     208753 | 11440832.62
     215603 | 11439747.79
     768629 | 11435116.74
     461766 | 11430940.08
     746559 | 11409447.91
     237909 | 11393441.08
     263632 | 11385667.66
      19343 | 11382935.50
     234533 | 11377158.54
     751594 | 11365214.73
     419186 | 11361944.82
     443588 | 11361791.83
     304486 | 11351829.16
     440845 | 11332973.61
     709055 | 11318761.81
     130423 | 11317003.92
      99341 | 11304753.13
     400824 | 11303205.41
     359552 | 11301614.66
     670746 | 11296786.80
     785139 | 11273239.82
     201451 | 11270173.79
     678373 | 11266238.44
     409814 | 11262604.18
     600771 | 11256963.42
     475224 | 11247610.91
     484418 | 11245862.52
     678328 | 11243736.63
     717003 | 11232964.39
     750806 | 11232399.76
      97380 | 11226458.76
     609894 | 11221192.84
     213818 | 11217836.88
     345782 | 11212557.52
     605841 | 11211202.14
     747773 | 11204149.35
     559758 | 11196303.72
     162909 | 11193364.97
     532705 | 11177442.68
     123047 | 11161957.90
      35937 | 11151719.83
     167496 | 11151220.55
     588001 | 11148546.16
     229553 | 11137954.84
     414441 | 11137180.33
     480617 | 11126524.40
     630762 | 11124474.85
     761496 | 11120479.20
      76622 | 11118215.20
      96202 | 11117984.90
     174594 | 11113161.09
     189676 | 11107283.36
     459019 | 11094969.72
     116755 | 11083403.83
     728046 | 11076619.74
     398156 | 11075957.20
     395629 | 11066696.24
     372898 | 11054866.14
      87425 | 11042352.75
     378909 | 11041918.64
     650621 | 11032173.14
     315575 | 11030464.07
     205628 | 11029625.98
     117995 | 11020503.86
     781413 | 11019830.45
     120365 | 11018705.84
     611406 | 11014100.76
     547294 | 11008753.55
     647949 | 10990910.07
     482356 | 10986660.92
     647895 | 10983887.42
     679547 | 10980722.12
     190198 | 10972535.82
     145383 | 10963789.21
     518801 | 10961002.00
     776540 | 10958787.69
     120775 | 10957819.93
     766146 | 10956666.20
     704442 | 10954967.68
     102985 | 10954502.28
     310472 | 10951809.02
      47600 | 10950490.00
     770629 | 10949186.34
     651073 | 10942327.45
     164008 | 10940459.56
