          s_name           | numwait 
---------------------------+---------
 Supplier#000011568        |      24
 Supplier#000099358        |      23
 Supplier#000020789        |      22
 Supplier#000110840        |      22
 Supplier#000120570        |      22
 Supplier#000018937        |      21
 Supplier#000050972        |      21
 Supplier#000061517        |      21
 Supplier#000000622        |      20
 Supplier#000034670        |      20
 Supplier#000034898        |      20
 Supplier#000062843        |      20
 Supplier#000070748        |      20
 Supplier#000079899        |      20
 Supplier#000085316        |      20
 Supplier#000108199        |      20
 Supplier#000108428        |      20
 Supplier#000116124        |      20
 Supplier#000130993        |      20
 Supplier#000137738        |      20
 Supplier#000141641        |      20
 Supplier#000145806        |      20
 Supplier#000154995        |      20
 Supplier#000059744        |      19
 Supplier#000072325        |      19
 Supplier#000079029        |      19
 Supplier#000080192        |      19
 Supplier#000085366        |      19
 Supplier#000085887        |      19
 Supplier#000106219        |      19
 Supplier#000107443        |      19
 Supplier#000120347        |      19
 Supplier#000141326        |      19
 Supplier#000141891        |      19
 Supplier#000145787        |      19
 Supplier#000157130        |      19
 Supplier#000008820        |      18
 Supplier#000011456        |      18
 Supplier#000013213        |      18
 Supplier#000024582        |      18
 Supplier#000024664        |      18
 Supplier#000025459        |      18
 Supplier#000029712        |      18
 Supplier#000038312        |      18
 Supplier#000041129        |      18
 Supplier#000042096        |      18
 Supplier#000043792        |      18
 Supplier#000048387        |      18
 Supplier#000058078        |      18
 Supplier#000070001        |      18
 Supplier#000070426        |      18
 Supplier#000073744        |      18
 Supplier#000078189        |      18
 Supplier#000079982        |      18
 Supplier#000080482        |      18
 Supplier#000081040        |      18
 Supplier#000082945        |      18
 Supplier#000083295        |      18
 Supplier#000088066        |      18
 Supplier#000097081        |      18
 Supplier#000098246        |      18
 Supplier#000101633        |      18
 Supplier#000104459        |      18
 Supplier#000115531        |      18
 Supplier#000120714        |      18
 Supplier#000123998        |      18
 Supplier#000131503        |      18
 Supplier#000133827        |      18
 Supplier#000136196        |      18
 Supplier#000139485        |      18
 Supplier#000142804        |      18
 Supplier#000143499        |      18
 Supplier#000144445        |      18
 Supplier#000146017        |      18
 Supplier#000151599        |      18
 Supplier#000154115        |      18
 Supplier#000157181        |      18
 Supplier#000000098        |      17
 Supplier#000002914        |      17
 Supplier#000004290        |      17
 Supplier#000006000        |      17
 Supplier#000013939        |      17
 Supplier#000020229        |      17
 Supplier#000024829        |      17
 Supplier#000025002        |      17
 Supplier#000027613        |      17
 Supplier#000028292        |      17
 Supplier#000028330        |      17
 Supplier#000032276        |      17
 Supplier#000034678        |      17
 Supplier#000036018        |      17
 Supplier#000038694        |      17
 Supplier#000039049        |      17
 Supplier#000040664        |      17
 Supplier#000043978        |      17
 Supplier#000044117        |      17
 Supplier#000047053        |      17
 Supplier#000050423        |      17
 Supplier#000052276        |      17
 Supplier#000053203        |      17
(100 rows)

