 ps_partkey |    value    
------------+-------------
    2923954 | 20250041.76
    1560134 | 19580776.76
    2645766 | 19198385.74
    2841099 | 19088743.71
    1318244 | 18984326.85
     891129 | 18876288.12
     124792 | 18808751.57
     701067 | 18568815.68
    3069927 | 18497317.44
      48950 | 18454121.20
    3050123 | 18401680.48
    2574784 | 18185456.26
    2889478 | 18067968.64
     153659 | 17982992.15
    1434594 | 17943892.77
    2584761 | 17911324.16
     983476 | 17877883.34
    1032749 | 17824336.06
    2838540 | 17812559.66
     102171 | 17767555.32
     756342 | 17630122.85
    3142025 | 17527529.72
    1895439 | 17414990.03
    1163013 | 17399680.95
    2232119 | 17307106.55
    2678745 | 17197831.30
    1887249 | 17149483.28
    2408179 | 17101391.00
    1015466 | 17101382.73
     945523 | 17070699.33
    2398627 | 17059413.39
    2758710 | 17016381.17
    2705490 | 16984601.30
      31627 | 16968463.80
    1153034 | 16894782.68
    3106042 | 16880539.94
    1184077 | 16844488.52
    2940439 | 16832214.62
     151499 | 16814930.78
     793197 | 16814156.32
     469836 | 16811426.78
    2142849 | 16777421.85
    2831499 | 16680736.56
     616690 | 16675383.34
    2740971 | 16548969.78
     500095 | 16497907.12
    1392654 | 16471865.41
     852949 | 16438263.80
     480668 | 16434173.20
    2210814 | 16411165.48
    1249467 | 16401158.07
    2875695 | 16349539.95
    2811696 | 16341101.06
    2957737 | 16267562.01
    1628469 | 16256456.51
    2078852 | 16133266.38
    3072145 | 16121460.52
    1618139 | 16114559.26
     211512 | 16090361.18
    1605546 | 16074999.05
    1226684 | 16074067.23
    2504810 | 15999791.01
     717619 | 15983648.28
     868242 | 15971858.61
     453068 | 15962397.53
    1145682 | 15942487.60
    1225965 | 15928962.10
    2089786 | 15925715.29
    1279070 | 15901872.96
     357384 | 15879481.96
    1329877 | 15848860.14
    2370577 | 15813600.87
    2636354 | 15796847.68
     623262 | 15784827.03
     770117 | 15777207.53
    1239989 | 15760294.27
    1399089 | 15756781.44
     888567 | 15753188.82
    2455341 | 15752974.34
     920559 | 15748977.91
    1367474 | 15744580.12
    3001646 | 15712628.00
    2515727 | 15701186.98
    1941211 | 15698316.30
    2126560 | 15680438.20
    3108534 | 15642238.03
     940839 | 15612773.07
    2459359 | 15603483.48
    3041151 | 15564535.61
    2260689 | 15546395.09
    1602311 | 15542581.11
     648950 | 15484856.56
    1732345 | 15479674.24
    1962912 | 15456182.11
    2368885 | 15451733.60
     435813 | 15441459.23
    1050109 | 15434707.32
    3139074 | 15431537.49
     907863 | 15423632.19
    1662051 | 15383945.40
    2496783 | 15382402.16
    1497575 | 15376783.50
    3025459 | 15360860.56
