 c_count | custdist 
---------+----------
       0 |   800033
      10 |   105888
       9 |   103875
      11 |    99442
       8 |    93809
      12 |    89446
      13 |    79491
       7 |    74813
      19 |    74697
      18 |    74368
      14 |    72787
      20 |    72523
      17 |    72273
      16 |    69925
      15 |    69902
      21 |    67629
      22 |    60557
       6 |    52384
      23 |    52334
      24 |    42704
      25 |    33597
       5 |    31406
      26 |    25577
      27 |    18724
       4 |    16044
      28 |    13241
      29 |     8841
       3 |     6348
      30 |     5864
      31 |     3787
      32 |     2275
       2 |     1909
      33 |     1367
      34 |      812
      35 |      435
       1 |      391
      36 |      237
      37 |      134
      38 |       65
      39 |       32
      40 |       19
      41 |       10
      42 |        3
      46 |        1
      44 |        1
(45 rows)

