          s_name           | numwait 
---------------------------+---------
 Supplier#000028472        |      22
 Supplier#000003707        |      19
 Supplier#000007875        |      19
 Supplier#000016873        |      19
 Supplier#000001351        |      18
 Supplier#000004023        |      18
 Supplier#000008349        |      18
 Supplier#000011850        |      18
 Supplier#000014317        |      18
 Supplier#000017690        |      18
 Supplier#000021208        |      18
 Supplier#000024918        |      18
 Supplier#000027965        |      18
 Supplier#000029315        |      18
 Supplier#000029346        |      18
 Supplier#000030151        |      18
 Supplier#000031637        |      18
 Supplier#000036117        |      18
 Supplier#000036988        |      18
 Supplier#000038923        |      18
 Supplier#000003573        |      17
 Supplier#000005956        |      17
 Supplier#000009832        |      17
 Supplier#000010983        |      17
 Supplier#000013089        |      17
 Supplier#000014800        |      17
 Supplier#000021321        |      17
 Supplier#000023659        |      17
 Supplier#000024110        |      17
 Supplier#000025483        |      17
 Supplier#000026983        |      17
 Supplier#000029206        |      17
 Supplier#000029779        |      17
 Supplier#000031951        |      17
 Supplier#000031999        |      17
 Supplier#000032406        |      17
 Supplier#000034549        |      17
 Supplier#000034861        |      17
 Supplier#000000458        |      16
 Supplier#000001448        |      16
 Supplier#000002520        |      16
 Supplier#000004290        |      16
 Supplier#000004725        |      16
 Supplier#000008628        |      16
 Supplier#000008939        |      16
 Supplier#000012056        |      16
 Supplier#000014321        |      16
 Supplier#000015612        |      16
 Supplier#000017468        |      16
 Supplier#000019815        |      16
 Supplier#000020536        |      16
 Supplier#000023032        |      16
 Supplier#000024271        |      16
 Supplier#000025347        |      16
 Supplier#000029043        |      16
 Supplier#000029218        |      16
 Supplier#000029429        |      16
 Supplier#000030136        |      16
 Supplier#000032252        |      16
 Supplier#000032275        |      16
 Supplier#000032663        |      16
 Supplier#000034712        |      16
 Supplier#000035748        |      16
 Supplier#000038841        |      16
 Supplier#000039421        |      16
 Supplier#000000453        |      15
 Supplier#000001368        |      15
 Supplier#000001527        |      15
 Supplier#000002069        |      15
 Supplier#000003773        |      15
 Supplier#000003868        |      15
 Supplier#000005240        |      15
 Supplier#000008073        |      15
 Supplier#000011591        |      15
 Supplier#000011790        |      15
 Supplier#000013037        |      15
 Supplier#000015394        |      15
 Supplier#000015856        |      15
 Supplier#000016069        |      15
 Supplier#000016913        |      15
 Supplier#000017694        |      15
 Supplier#000018571        |      15
 Supplier#000020033        |      15
 Supplier#000021819        |      15
 Supplier#000024103        |      15
 Supplier#000025083        |      15
 Supplier#000026227        |      15
 Supplier#000026745        |      15
 Supplier#000027377        |      15
 Supplier#000027873        |      15
 Supplier#000028135        |      15
 Supplier#000029927        |      15
 Supplier#000030528        |      15
 Supplier#000031470        |      15
 Supplier#000031638        |      15
 Supplier#000033559        |      15
 Supplier#000033692        |      15
 Supplier#000033856        |      15
 Supplier#000033951        |      15
 Supplier#000034438        |      15
(100 rows)

