 c_count | custdist 
---------+----------
       0 |   100002
      10 |    13142
       9 |    12921
      11 |    12407
       8 |    11780
      12 |    11322
      13 |     9894
      19 |     9348
      18 |     9294
       7 |     9276
      14 |     9122
      20 |     8962
      17 |     8894
      16 |     8846
      15 |     8787
      21 |     8561
      22 |     7541
       6 |     6571
      23 |     6428
      24 |     5314
      25 |     4200
       5 |     3956
      26 |     3197
      27 |     2320
       4 |     2036
      28 |     1656
      29 |     1194
       3 |      825
      30 |      773
      31 |      465
      32 |      296
       2 |      235
      33 |      173
      34 |       94
      35 |       51
       1 |       44
      36 |       36
      37 |       25
      38 |        6
      39 |        5
      44 |        1
(41 rows)

