 c_count | custdist 
---------+----------
       0 |    50004
       9 |     6651
      10 |     6581
      11 |     6030
       8 |     5868
      12 |     5617
      13 |     4966
      19 |     4697
       7 |     4682
      20 |     4568
      14 |     4547
      18 |     4542
      17 |     4514
      15 |     4410
      16 |     4380
      21 |     4212
      22 |     3670
       6 |     3272
      23 |     3225
      24 |     2687
      25 |     2111
       5 |     1974
      26 |     1624
      27 |     1186
       4 |     1013
      28 |      883
      29 |      594
       3 |      399
      30 |      370
      31 |      223
      32 |      147
       2 |      137
      33 |       79
      34 |       49
      35 |       37
       1 |       18
      36 |       13
      37 |        9
      40 |        5
      38 |        4
      41 |        1
      39 |        1
(42 rows)

