 ps_partkey |    value    
------------+-------------
    5680462 | 23998528.40
    2499777 | 21301679.14
    4118487 | 20788770.55
     819132 | 20541120.08
    5747633 | 20350016.13
    3081886 | 19979501.24
    4101514 | 19519860.72
    5545268 | 19506582.21
    5118962 | 19400191.24
    1881614 | 19385121.32
    4313854 | 18944830.46
     148255 | 18874358.60
    3694869 | 18551430.82
    4420412 | 18499261.50
    1678806 | 18364784.41
    5547766 | 18227555.12
    5177448 | 18206224.44
    2250799 | 18168730.95
    4348438 | 18101171.60
    1599919 | 17981470.32
    2846140 | 17978379.12
     578129 | 17932661.88
     473390 | 17851073.58
     337583 | 17817723.32
    3942862 | 17723832.99
     507257 | 17716456.20
    2339763 | 17699260.00
    2439925 | 17691707.83
    2320393 | 17523272.74
    6002930 | 17515227.69
    3194125 | 17513626.02
    1586208 | 17512355.61
    4713770 | 17272469.96
    6055032 | 17249093.45
    6166519 | 17234874.56
     464647 | 17224952.32
      94493 | 17215006.79
     773943 | 17170329.69
    3557151 | 17073300.30
    6075335 | 17038883.55
     865636 | 16996234.16
    1849637 | 16972607.46
    4949665 | 16930168.24
    1725096 | 16894256.05
       9871 | 16800204.52
    3225216 | 16785962.78
      32941 | 16781326.83
    4696494 | 16740268.98
    1771741 | 16733695.88
    2876521 | 16720946.07
    5224602 | 16693376.22
    1597619 | 16672776.60
    3424648 | 16670955.93
      14736 | 16637273.94
    1749804 | 16606864.44
    4303235 | 16601809.55
      45986 | 16578991.52
    2844587 | 16571807.90
    3649546 | 16569596.24
    4376206 | 16542973.58
    1743714 | 16520503.22
     248397 | 16516737.18
    2841383 | 16516541.86
    5112644 | 16510143.51
    5486687 | 16478743.17
    1401920 | 16477002.39
    3265094 | 16475744.46
    4535271 | 16466571.60
    3081204 | 16454228.21
    1087715 | 16418121.62
    4740830 | 16408664.80
     192574 | 16406360.20
     997461 | 16388871.63
    5326842 | 16383990.18
    4720488 | 16383390.70
    1367478 | 16351874.25
    1032167 | 16332652.35
    2422840 | 16277562.29
    5363346 | 16274013.58
     416810 | 16260177.60
     574275 | 16237467.64
    5061053 | 16233577.60
    4364656 | 16223437.63
    4462580 | 16210541.54
    1999867 | 16201352.80
    6384417 | 16185984.48
    4385706 | 16180452.50
    3797230 | 16169520.09
    4403280 | 16149171.27
    5596537 | 16120653.76
    1495599 | 16110469.48
    1421359 | 16100351.86
    2963507 | 16091296.25
    2144229 | 16069175.67
    2161854 | 16017172.71
    1459653 | 16014163.07
    1718893 | 15990979.34
     412870 | 15988155.08
    5484176 | 15978121.10
    3303046 | 15965133.22
    5755337 | 15933249.14
    4310581 | 15924932.20
    4474597 | 15924010.13
    4299080 | 15898976.54
    4569812 | 15886721.18
    2957278 | 15883396.99
    1455520 | 15856900.08
    4597898 | 15853857.88
     857874 | 15852497.77
    4836920 | 15809651.65
    3442399 | 15785814.75
    2664000 | 15783138.51
    1073569 | 15780969.17
    4604735 | 15779538.99
    1145856 | 15778883.30
    3502865 | 15761864.93
    4800777 | 15739325.02
    2090139 | 15725242.42
    3754024 | 15719433.77
     157331 | 15714560.40
     662870 | 15700285.19
     313163 | 15683113.06
     589573 | 15676844.95
    3341654 | 15639287.76
    4331747 | 15632574.42
    1433195 | 15621358.98
    4376991 | 15618080.79
    2655059 | 15617855.16
    1777818 | 15605134.27
     945638 | 15592189.67
    4879108 | 15574603.30
    3501024 | 15568807.16
     774208 | 15560787.11
    3756159 | 15556815.42
    2750988 | 15556082.57
    5699169 | 15555357.97
    1381583 | 15541956.96
    4691445 | 15534266.05
    2740383 | 15533617.59
    3263881 | 15530514.56
    3823471 | 15516924.16
    1229027 | 15511447.75
    5647547 | 15505379.41
    2317430 | 15500465.60
    1937364 | 15498416.13
    5459661 | 15495772.32
    6006735 | 15495714.86
    4546917 | 15484313.53
       6736 | 15462120.84
     665806 | 15449515.53
    2038955 | 15449077.14
    2368864 | 15441812.82
    1919765 | 15435871.59
    1161119 | 15434188.02
    1402874 | 15432183.52
    4923407 | 15426983.37
      96024 | 15424544.69
    1342350 | 15422179.56
    5178139 | 15420429.40
    3409804 | 15420306.16
    3237372 | 15416644.95
    2182900 | 15407668.76
    3087563 | 15386763.39
    5953740 | 15386684.31
    3858811 | 15377475.65
    1159788 | 15373711.90
    2952068 | 15360360.98
    1151899 | 15355581.31
    5536044 | 15352792.17
    2007492 | 15347443.22
    1304788 | 15344981.99
    2925436 | 15343741.84
    4699024 | 15337476.62
    1738764 | 15335909.36
     798704 | 15335015.15
    1022728 | 15327900.95
    2527697 | 15324730.89
    3838715 | 15309958.90
    1260725 | 15305204.08
    6301131 | 15302905.83
    6069601 | 15300533.26
    2357600 | 15300503.29
    3042411 | 15291548.64
    5417769 | 15286239.92
     981399 | 15265306.62
    5792474 | 15259933.68
    4245579 | 15256536.98
    3801748 | 15247764.68
    3098381 | 15238223.19
    5023190 | 15237894.05
    6262821 | 15236875.54
     248411 | 15232527.58
    3541932 | 15224933.08
     150294 | 15224107.78
    4681569 | 15222879.53
    4168810 | 15215848.13
    1019109 | 15213117.96
    6201600 | 15212769.50
    4606726 | 15205840.66
    5785860 | 15182410.33
    5902204 | 15181276.22
    3205611 | 15175021.92
    5868984 | 15158267.58
    5723486 | 15148157.75
    2865234 | 15148062.42
    2010526 | 15146250.50
    5422938 | 15145527.88
    3120157 | 15121604.16
    4358984 | 15116428.82
    5540175 | 15112202.80
    6122418 | 15108485.76
    5880293 | 15103184.76
    6141716 | 15078756.76
    1551985 | 15056591.25
    4654390 | 15053397.38
    6108233 | 15046203.60
    3644161 | 15043023.72
    2382650 | 15041925.30
     923892 | 15040769.54
     238912 | 15035809.40
     392439 | 15029112.22
    2033104 | 15026552.99
    2680916 | 15007806.21
    1291496 | 15005802.77
    4661098 | 14998596.22
    5432552 | 14994405.78
    4543209 | 14990312.90
     453449 | 14989902.60
    2679098 | 14989707.10
    4476724 | 14989159.16
    5906756 | 14977447.98
     725620 | 14976750.04
    4277452 | 14966288.81
    4549698 | 14960238.11
    3022701 | 14956927.88
    4366322 | 14945985.76
    2099401 | 14945696.34
     539057 | 14944486.48
    4183483 | 14938891.61
    6183443 | 14938136.04
    3342103 | 14932922.31
    1232270 | 14932157.38
     120221 | 14931092.49
      64293 | 14927023.68
    5803263 | 14925916.00
    3556418 | 14922239.10
    4988674 | 14918840.62
    4953399 | 14912336.55
    4514755 | 14909865.60
     999794 | 14900246.93
    1533458 | 14899150.22
    1326958 | 14885430.77
     838096 | 14883979.78
    2619915 | 14866895.52
