 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                              
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+-----------------------------------------------------------------------------------------------------
   9999.72 | Supplier#000009450        | IRAN                      |    151904 | Manufacturer#3            | 0d zNrvhTpg                              | 20-729-897-5564 | totes. bold, blithe packages nag against the slyly regular instructions. bold,
   9987.37 | Supplier#000008390        | SAUDI ARABIA              |     33383 | Manufacturer#4            | S5fj7UR7wc6                              | 30-478-369-1888 | as boost slyly during the final, ironic ideas. slyl
   9973.93 | Supplier#000004194        | JORDAN                    |     46681 | Manufacturer#3            | A8AoX9AK,qhf,CpEF                        | 23-944-413-2681 | t fluffily. regular requests about the regular, unusual somas play of the furiously busy
   9889.66 | Supplier#000001943        | JORDAN                    |    146914 | Manufacturer#3            | ROT u2yO2E8cIFvz6a18vuW3DvF,SvHIFKESc1V  | 23-574-621-8188 | s cajole slyly alongside of the quickly express asymptotes. blithely sp
   9882.68 | Supplier#000002753        | JORDAN                    |     20250 | Manufacturer#3            | Q6D89sklsThNCyo7VY                       | 23-732-338-4999 | fily. pinto beans affix furiously across the blithely regular theodol
   9880.70 | Supplier#000007382        | SAUDI ARABIA              |    147381 | Manufacturer#3            | p9BaidBFCsmn                             | 30-115-989-9371 | counts serve carefully fu
   9848.82 | Supplier#000005190        | IRAN                      |     25189 | Manufacturer#3            | Ho GIXxcwcCBwVqH,U7W                     | 20-266-562-4864 | atelets cajole slyly among the final ideas. carefully thin accounts integrate fu
   9806.52 | Supplier#000005276        | IRAQ                      |     67757 | Manufacturer#4            | inh0KOhRfLM7WRhdRNvJJDQx                 | 21-834-496-7360 | the slyly unusual theodolites; carefully even accounts use slyly. sl
   9806.29 | Supplier#000000144        | SAUDI ARABIA              |    100143 | Manufacturer#4            | f8tddEKps816HHqNwsKdn3                   | 30-726-423-7363 |  carefully even pinto beans n
   9775.37 | Supplier#000007245        | IRAQ                      |     19741 | Manufacturer#1            | 5VOUnvxlJeOJ                             | 21-663-724-2985 | ic deposits about the slyly bold requests
   9759.99 | Supplier#000003076        | EGYPT                     |    120563 | Manufacturer#4            | T8pR6AMA3RRjXPDoqZ9CnuY HTZHbutrLh       | 14-395-910-3054 |  special warthogs cajole quickly a
   9755.43 | Supplier#000002439        | EGYPT                     |    122438 | Manufacturer#5            | rXxojWV0VefSK7A0dhF                      | 14-410-168-5354 | p quickly packages. carefully pending pinto beans after the 
   9664.68 | Supplier#000004831        | SAUDI ARABIA              |    194830 | Manufacturer#1            | P7etrrqyCmgg5ZDxFIl7 8PanbiO0pJRCrxlGh,s | 30-230-129-4785 |  theodolites use fluffily unusual courts-- carefully unusual dependenci
   9656.61 | Supplier#000004286        | IRAN                      |    159255 | Manufacturer#2            | OsUz6fvS3Y8mGw2rdWmjTh0nEonjaoUduz       | 20-857-469-4413 | uthlessly closely final requests. blithely even packages sublate quick
   9563.48 | Supplier#000009720        | IRAN                      |     62201 | Manufacturer#1            | leK82UIpE4GmuwkGpg3stx48r2WGr neoG       | 20-132-178-9010 | ses. carefully regular ide
   9501.01 | Supplier#000005376        | SAUDI ARABIA              |     87851 | Manufacturer#4            | TjFwL3P67hEvcexz5                        | 30-721-836-9541 | furiously bold accounts alongside of the quickly final req
   9468.49 | Supplier#000006023        | JORDAN                    |    143508 | Manufacturer#2            | QzUNYNJKE1                               | 23-467-863-9965 | efully slyly pending hockey players. instructions nag blithely sp
   9461.04 | Supplier#000002718        | JORDAN                    |    140203 | Manufacturer#5            | qAIEvc9S13WI9TtYqU,48gj0                 | 23-700-162-8801 |  even deposits use along the deposits. furi
   9445.20 | Supplier#000007491        | SAUDI ARABIA              |     12488 | Manufacturer#4            |  rgpN2KQE6A0gul0q4ZVpD5S                 | 30-642-433-1399 | packages wake blithely against the carefully da
