          nation           | o_year |   sum_profit   
---------------------------+--------+----------------
 ALGERIA                   |   1998 | 210075004.6183
 ALGERIA                   |   1997 | 375775432.7735
 ALGERIA                   |   1996 | 366392474.8042
 ALGERIA                   |   1995 | 375172571.4989
 ALGERIA                   |   1994 | 365186294.2655
 ALGERIA                   |   1993 | 368328216.4683
 ALGERIA                   |   1992 | 372531765.6631
 ARGENTINA                 |   1998 | 225902944.6017
 ARGENTINA                 |   1997 | 379629408.4359
 ARGENTINA                 |   1996 | 379226991.7261
 ARGENTINA                 |   1995 | 374732350.0045
 ARGENTINA                 |   1994 | 379413399.0939
 ARGENTINA                 |   1993 | 377697278.4936
 ARGENTINA                 |   1992 | 384351990.5035
 BRAZIL                    |   1998 | 223424796.5171
 BRAZIL                    |   1997 | 380796944.2540
 BRAZIL                    |   1996 | 374640599.3290
 BRAZIL                    |   1995 | 383553856.7965
 BRAZIL                    |   1994 | 373034467.2144
 BRAZIL                    |   1993 | 379942464.4719
 BRAZIL                    |   1992 | 379031581.3370
 CANADA                    |   1998 | 228372211.3779
 CANADA                    |   1997 | 384047174.6684
 CANADA                    |   1996 | 384506832.4501
 CANADA                    |   1995 | 386000468.0817
 CANADA                    |   1994 | 389197824.6502
 CANADA                    |   1993 | 381091486.1392
 CANADA                    |   1992 | 389602670.6040
 CHINA                     |   1998 | 217209055.0210
 CHINA                     |   1997 | 376844829.9178
 CHINA                     |   1996 | 381847443.9656
 CHINA                     |   1995 | 379681482.7758
 CHINA                     |   1994 | 371353296.0126
 CHINA                     |   1993 | 379914454.1290
 CHINA                     |   1992 | 377245897.2134
 EGYPT                     |   1998 | 217387507.0368
 EGYPT                     |   1997 | 376523556.6466
 EGYPT                     |   1996 | 379201704.0211
 EGYPT                     |   1995 | 376420598.1022
 EGYPT                     |   1994 | 378716749.8658
 EGYPT                     |   1993 | 370518535.8244
 EGYPT                     |   1992 | 376878019.4081
 ETHIOPIA                  |   1998 | 220671389.8345
 ETHIOPIA                  |   1997 | 376840124.1624
 ETHIOPIA                  |   1996 | 379707926.0356
 ETHIOPIA                  |   1995 | 374712254.3043
 ETHIOPIA                  |   1994 | 388185524.2330
 ETHIOPIA                  |   1993 | 382045959.8941
 ETHIOPIA                  |   1992 | 380213232.6999
 FRANCE                    |   1998 | 215943427.8034
 FRANCE                    |   1997 | 367512898.5834
 FRANCE                    |   1996 | 364801637.2159
 FRANCE                    |   1995 | 368706268.3902
 FRANCE                    |   1994 | 364049151.6334
 FRANCE                    |   1993 | 360993892.7818
 FRANCE                    |   1992 | 364095195.0010
 GERMANY                   |   1998 | 222494937.8987
 GERMANY                   |   1997 | 378082767.4167
 GERMANY                   |   1996 | 375525021.1410
 GERMANY                   |   1995 | 375902266.5914
 GERMANY                   |   1994 | 378726955.2295
 GERMANY                   |   1993 | 380097476.5996
