          nation           | o_year |   sum_profit   
---------------------------+--------+----------------
 ALGERIA                   |   1998 | 107293878.5827
 ALGERIA                   |   1997 | 184046680.6097
 ALGERIA                   |   1996 | 186776862.2036
 ALGERIA                   |   1995 | 180705689.3190
 ALGERIA                   |   1994 | 185794547.3928
 ALGERIA                   |   1993 | 185340806.7090
 ALGERIA                   |   1992 | 184737545.7161
 ARGENTINA                 |   1998 | 109778426.9647
 ARGENTINA                 |   1997 | 191470555.0468
 ARGENTINA                 |   1996 | 189770801.9925
 ARGENTINA                 |   1995 | 193678859.4122
 ARGENTINA                 |   1994 | 189558691.0487
 ARGENTINA                 |   1993 | 186683380.3752
 ARGENTINA                 |   1992 | 191687240.0993
 BRAZIL                    |   1998 | 108831928.5311
 BRAZIL                    |   1997 | 183205825.9466
 BRAZIL                    |   1996 | 189468613.7231
 BRAZIL                    |   1995 | 182192698.8054
 BRAZIL                    |   1994 | 191177837.3952
 BRAZIL                    |   1993 | 183690115.8498
 BRAZIL                    |   1992 | 185126461.9466
 CANADA                    |   1998 | 112463500.7568
 CANADA                    |   1997 | 191690443.5481
 CANADA                    |   1996 | 189447513.3226
 CANADA                    |   1995 | 193267868.0673
 CANADA                    |   1994 | 188812390.8029
 CANADA                    |   1993 | 192297066.8396
 CANADA                    |   1992 | 190551438.2885
 CHINA                     |   1998 | 108546086.6589
 CHINA                     |   1997 | 184232079.9172
 CHINA                     |   1996 | 186460090.7044
 CHINA                     |   1995 | 179881479.7016
 CHINA                     |   1994 | 183842750.7876
 CHINA                     |   1993 | 189525631.6309
 CHINA                     |   1992 | 184476475.3287
 EGYPT                     |   1998 | 109047691.9971
 EGYPT                     |   1997 | 181471119.0641
 EGYPT                     |   1996 | 186253966.4204
 EGYPT                     |   1995 | 182885246.6234
 EGYPT                     |   1994 | 182318265.9451
 EGYPT                     |   1993 | 179933874.0259
 EGYPT                     |   1992 | 185134101.0325
 ETHIOPIA                  |   1998 | 104813980.0494
 ETHIOPIA                  |   1997 | 178495024.7362
 ETHIOPIA                  |   1996 | 180502312.9215
 ETHIOPIA                  |   1995 | 181101905.3571
 ETHIOPIA                  |   1994 | 184574733.4196
 ETHIOPIA                  |   1993 | 184375765.0742
 ETHIOPIA                  |   1992 | 186370805.4071
 FRANCE                    |   1998 | 110516906.6912
 FRANCE                    |   1997 | 187483567.1423
 FRANCE                    |   1996 | 187975207.2898
 FRANCE                    |   1995 | 190462464.1962
 FRANCE                    |   1994 | 188713879.8024
 FRANCE                    |   1993 | 187337002.1058
 FRANCE                    |   1992 | 187257459.3709
 GERMANY                   |   1998 | 109017589.7408
 GERMANY                   |   1997 | 185278128.8108
 GERMANY                   |   1996 | 184874838.9317
 GERMANY                   |   1995 | 186424398.8356
 GERMANY                   |   1994 | 180790063.2704
 GERMANY                   |   1993 | 188931699.1238
 GERMANY                   |   1992 | 185019951.5873
 INDIA                     |   1998 | 116787172.0935
 INDIA                     |   1997 | 191593785.6948
 INDIA                     |   1996 | 195790288.2882
 INDIA                     |   1995 | 196141063.9159
 INDIA                     |   1994 | 195890016.3010
 INDIA                     |   1993 | 196337565.8890
 INDIA                     |   1992 | 195554308.1568
 INDONESIA                 |   1998 | 110674580.5024
