  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#11   | MEDIUM ANODIZED COPPER    |     12 |          236
 Brand#11   | SMALL BRUSHED STEEL       |     45 |          236
 Brand#43   | PROMO POLISHED BRASS      |     28 |          232
 Brand#31   | ECONOMY BURNISHED COPPER  |     12 |          230
 Brand#11   | PROMO BURNISHED STEEL     |      8 |          228
 Brand#23   | SMALL ANODIZED NICKEL     |     30 |          228
 Brand#51   | PROMO ANODIZED TIN        |     41 |          228
 Brand#21   | PROMO BRUSHED BRASS       |     12 |          224
 Brand#22   | ECONOMY PLATED TIN        |     12 |          224
 Brand#22   | PROMO PLATED COPPER       |     30 |          224
 Brand#35   | STANDARD BURNISHED NICKEL |     28 |          224
 Brand#44   | STANDARD BURNISHED STEEL  |     45 |          224
 Brand#14   | LARGE POLISHED STEEL      |     38 |          220
 Brand#22   | LARGE PLATED COPPER       |     45 |          220
 Brand#35   | LARGE POLISHED STEEL      |     45 |          220
 Brand#53   | SMALL POLISHED BRASS      |      8 |          220
 Brand#54   | ECONOMY BRUSHED BRASS     |      8 |          218
 Brand#13   | LARGE BRUSHED TIN         |     41 |          216
 Brand#13   | MEDIUM POLISHED BRASS     |     41 |          216
 Brand#15   | LARGE BRUSHED TIN         |     41 |          216
 Brand#21   | ECONOMY BRUSHED NICKEL    |     41 |          216
 Brand#22   | ECONOMY BURNISHED BRASS   |     12 |          216
 Brand#44   | MEDIUM ANODIZED TIN       |     41 |          216
 Brand#45   | ECONOMY PLATED NICKEL     |     41 |          216
 Brand#52   | SMALL ANODIZED NICKEL     |     38 |          216
 Brand#25   | MEDIUM BRUSHED NICKEL     |     45 |          215
 Brand#13   | SMALL BRUSHED TIN         |     38 |          212
 Brand#21   | SMALL POLISHED TIN        |     41 |          212
 Brand#23   | MEDIUM POLISHED NICKEL    |     45 |          212
 Brand#24   | PROMO ANODIZED STEEL      |     43 |          212
 Brand#25   | LARGE PLATED COPPER       |     41 |          212
 Brand#32   | PROMO POLISHED TIN        |     28 |          212
 Brand#33   | MEDIUM PLATED NICKEL      |     12 |          212
 Brand#34   | PROMO BRUSHED COPPER      |     28 |          212
 Brand#44   | MEDIUM BRUSHED STEEL      |      8 |          212
 Brand#45   | SMALL BRUSHED NICKEL      |     41 |          212
 Brand#11   | ECONOMY POLISHED COPPER   |     41 |          211
 Brand#13   | STANDARD BRUSHED BRASS    |     45 |          211
 Brand#35   | STANDARD ANODIZED NICKEL  |      8 |          211
 Brand#13   | ECONOMY PLATED STEEL      |     30 |          208
 Brand#15   | MEDIUM BRUSHED NICKEL     |     28 |          208
 Brand#15   | SMALL POLISHED NICKEL     |     30 |          208
 Brand#24   | STANDARD BURNISHED NICKEL |     28 |          208
 Brand#25   | PROMO POLISHED TIN        |      8 |          208
 Brand#31   | PROMO PLATED STEEL        |     38 |          208
 Brand#32   | SMALL BRUSHED TIN         |     30 |          208
 Brand#34   | ECONOMY BRUSHED STEEL     |     38 |          208
 Brand#41   | MEDIUM BRUSHED TIN        |     30 |          208
 Brand#43   | MEDIUM BRUSHED BRASS      |     12 |          208
 Brand#43   | MEDIUM PLATED TIN         |     30 |          208
 Brand#45   | PROMO BRUSHED BRASS       |     38 |          208
 Brand#51   | PROMO PLATED STEEL        |     28 |          208
 Brand#53   | ECONOMY ANODIZED NICKEL   |     30 |          208
 Brand#53   | LARGE PLATED COPPER       |     43 |          208
 Brand#53   | MEDIUM POLISHED TIN       |     41 |          208
 Brand#53   | STANDARD BURNISHED COPPER |     38 |          208
 Brand#54   | MEDIUM ANODIZED BRASS     |     28 |          208
 Brand#54   | MEDIUM PLATED COPPER      |     28 |          208
 Brand#54   | SMALL BRUSHED STEEL       |     38 |          208
 Brand#54   | SMALL POLISHED BRASS      |     28 |          208
 Brand#54   | STANDARD BRUSHED COPPER   |     38 |          208
 Brand#55   | ECONOMY POLISHED TIN      |     41 |          208
 Brand#52   | PROMO BRUSHED STEEL       |     45 |          207
