 c_count | custdist 
---------+----------
       0 |   200014
      10 |    26648
       9 |    25812
      11 |    24860
       8 |    23315
      12 |    22392
      13 |    19959
       7 |    18796
      19 |    18703
      18 |    18214
      17 |    18115
      20 |    18042
      14 |    18013
      15 |    17552
      16 |    17447
      21 |    17001
      22 |    15135
       6 |    13159
      23 |    13027
      24 |    10759
      25 |     8534
       5 |     7882
      26 |     6349
      27 |     4682
       4 |     3985
      28 |     3290
      29 |     2250
       3 |     1641
      30 |     1505
      31 |      903
      32 |      614
       2 |      493
      33 |      364
      34 |      219
      35 |      106
       1 |      100
      36 |       55
      37 |       29
      38 |       15
      39 |       13
      40 |        3
      41 |        2
      45 |        1
      43 |        1
      42 |        1
(45 rows)

