       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
--------------------+-----------+------------+-------------+--------------+--------
 Customer#000311578 |    311578 |   21135524 | 1992-11-22  |    542959.74 | 320.00
 Customer#000169961 |    169961 |   23245603 | 1994-11-22  |    540885.24 | 321.00
 Customer#001185565 |   1185565 |   43609317 | 1996-02-17  |    535425.80 | 325.00
 Customer#001014913 |   1014913 |    4702759 | 1994-11-07  |    534849.81 | 320.00
 Customer#000534305 |    534305 |    2199712 | 1996-09-30  |    533687.20 | 327.00
 Customer#000981680 |    981680 |   35542498 | 1993-10-12  |    531798.28 | 325.00
 Customer#000400453 |    400453 |   35383045 | 1997-12-11  |    529265.34 | 317.00
 Customer#000145300 |    145300 |   17457767 | 1993-06-05  |    528476.50 | 316.00
 Customer#000944447 |    944447 |   19217698 | 1993-03-26  |    525122.66 | 316.00
 Customer#000292946 |    292946 |    4806726 | 1995-01-17  |    525083.48 | 328.00
 Customer#000070357 |     70357 |   10805828 | 1997-07-29  |    521723.41 | 316.00
 Customer#000965656 |    965656 |   34201984 | 1997-06-18  |    516285.41 | 322.00
 Customer#000087854 |     87854 |   10408580 | 1994-09-03  |    515759.08 | 320.00
 Customer#000087521 |     87521 |   10612710 | 1995-02-05  |    502135.61 | 319.00
 Customer#000716806 |    716806 |   24923202 | 1993-10-04  |    499874.44 | 316.00
 Customer#000532316 |    532316 |    7810823 | 1998-01-05  |    498845.24 | 324.00
 Customer#000133670 |    133670 |   17366275 | 1998-01-14  |    495367.57 | 316.00
 Customer#001030249 |   1030249 |   42290181 | 1997-11-26  |    487560.81 | 318.00
 Customer#000115882 |    115882 |   11599171 | 1998-03-22  |    486955.76 | 316.00
 Customer#000912380 |    912380 |   29122912 | 1996-05-08  |    485482.79 | 323.00
 Customer#000282610 |    282610 |   22017989 | 1996-06-17  |    483577.57 | 318.00
 Customer#001024958 |   1024958 |    4722021 | 1994-04-07  |    477703.17 | 323.00
 Customer#000051487 |     51487 |    7235014 | 1998-03-09  |    475404.73 | 323.00
 Customer#000457322 |    457322 |   21213895 | 1992-01-03  |    474749.23 | 327.00
 Customer#000682984 |    682984 |   15071267 | 1994-10-22  |    471821.37 | 317.00
 Customer#000785165 |    785165 |   20971013 | 1997-08-12  |    471523.42 | 322.00
 Customer#000483889 |    483889 |   45897379 | 1994-05-30  |    470800.17 | 318.00
 Customer#001156930 |   1156930 |    3043270 | 1997-02-12  |    468578.11 | 317.00
 Customer#000881404 |    881404 |   46794464 | 1992-04-28  |    467006.52 | 320.00
 Customer#000618449 |    618449 |   38914978 | 1996-05-28  |    464610.13 | 324.00
 Customer#000950513 |    950513 |   42997059 | 1997-03-15  |    462254.09 | 320.00
 Customer#000259438 |    259438 |   26465922 | 1996-11-04  |    462008.41 | 331.00
 Customer#000213398 |    213398 |   41274690 | 1992-08-10  |    459748.55 | 317.00
 Customer#000418933 |    418933 |   32393895 | 1993-08-09  |    458656.06 | 316.00
 Customer#000762280 |    762280 |   40944001 | 1993-12-15  |    458527.20 | 319.00
 Customer#000967862 |    967862 |   12314084 | 1994-05-16  |    457591.37 | 325.00
 Customer#001104238 |   1104238 |   13837220 | 1994-09-07  |    456233.83 | 316.00
 Customer#000892504 |    892504 |   13165024 | 1992-06-29  |    456096.72 | 318.00
 Customer#000938011 |    938011 |   36667107 | 1997-06-06  |    454214.21 | 322.00
 Customer#000618484 |    618484 |   33615872 | 1997-09-28  |    451242.68 | 317.00
 Customer#000133271 |    133271 |   46685344 | 1993-12-14  |    450940.41 | 327.00
 Customer#000504958 |    504958 |   12378086 | 1995-03-13  |    449041.02 | 320.00
 Customer#000060055 |     60055 |   43997089 | 1994-08-07  |    446666.46 | 317.00
 Customer#001177573 |   1177573 |    1263015 | 1997-02-02  |    433067.47 | 320.00
 Customer#000515848 |    515848 |   28184576 | 1994-01-29  |    429500.98 | 324.00
 Customer#001046701 |   1046701 |   28077922 | 1996-10-27  |    429197.40 | 319.00
 Customer#000180451 |    180451 |   39492870 | 1995-08-12  |    428355.15 | 317.00
 Customer#000860176 |    860176 |   44143908 | 1992-02-24  |    428037.17 | 325.00
 Customer#000007027 |      7027 |   29294434 | 1993-01-05  |    427097.16 | 322.00
 Customer#000865445 |    865445 |    8075589 | 1996-08-23  |    424782.39 | 316.00
 Customer#000007078 |      7078 |   39702437 | 1995-11-23  |    424238.35 | 321.00
 Customer#000957053 |    957053 |   34509573 | 1995-10-15  |    419381.18 | 318.00
 Customer#000959905 |    959905 |    1544643 | 1997-09-20  |    419097.02 | 320.00
 Customer#000124951 |    124951 |    3767271 | 1996-08-07  |    415915.21 | 318.00
 Customer#001080412 |   1080412 |   43245189 | 1994-11-29  |    414820.33 | 320.00
 Customer#000930727 |    930727 |   11141606 | 1997-09-28  |    410685.48 | 325.00
 Customer#000253828 |    253828 |   44178691 | 1998-01-24  |    407715.66 | 316.00
 Customer#000943342 |    943342 |    2869152 | 1996-06-20  |    386833.76 | 317.00
(58 rows)

