 ps_partkey |    value    
------------+-------------
    1275116 | 19679459.60
    1356640 | 18657267.92
     125632 | 18411545.78
     273069 | 18055644.27
    1325271 | 17531175.73
      23805 | 17263299.00
    1211443 | 17104491.14
     437483 | 16973170.10
    1505630 | 16870811.95
    1171278 | 16828576.78
      63805 | 16782712.78
     758530 | 16749437.49
     664761 | 16721775.72
     208131 | 16713518.59
     986524 | 16617169.16
      45986 | 16578991.52
     359503 | 16571679.96
     685632 | 16511746.89
     500095 | 16497907.12
    1275371 | 16495555.98
     809350 | 16469207.01
     213847 | 16406003.94
    1215144 | 16390104.21
     974891 | 16327026.73
     454544 | 16309623.76
     246692 | 16287030.40
    1576759 | 16263043.83
     939704 | 16228116.61
    1356997 | 16158008.09
    1108220 | 16151554.85
    1326651 | 16144336.04
     877122 | 16101733.46
    1545848 | 16075864.07
    1188239 | 16025232.19
     277433 | 15999085.81
    1323959 | 15991073.82
    1407843 | 15987570.56
    1351982 | 15966661.14
     306663 | 15915050.50
    1022026 | 15879399.36
     987631 | 15671026.92
     546305 | 15652284.46
     989927 | 15594380.61
     313403 | 15584304.98
     177498 | 15582990.49
      11812 | 15574549.35
    1387203 | 15560705.10
     844216 | 15435822.78
     868033 | 15346917.24
    1587361 | 15320611.28
     109644 | 15301767.06
    1334899 | 15061904.85
    1287126 | 15059993.10
     459492 | 14992490.50
     102171 | 14972734.86
    1143694 | 14972312.10
     562828 | 14965610.92
     420791 | 14931912.75
     454217 | 14889587.95
     637770 | 14828863.65
     627373 | 14809060.15
     214927 | 14804075.03
     612432 | 14779407.03
     571451 | 14775275.04
    1465666 | 14773195.72
     564581 | 14768817.75
     566339 | 14760599.84
    1430532 | 14755255.03
     745820 | 14723033.92
     246623 | 14713251.03
     785459 | 14707093.52
     733434 | 14705221.72
     186936 | 14668577.64
    1428695 | 14640229.29
    1360658 | 14575987.02
    1493068 | 14573598.50
     949205 | 14538859.62
     434262 | 14533174.57
    1485684 | 14531745.12
    1509831 | 14530854.71
     420058 | 14517939.64
     777438 | 14503601.90
     351461 | 14502003.74
    1173482 | 14500719.58
     320788 | 14480012.96
    1452456 | 14473664.82
     411723 | 14469227.98
      58629 | 14452426.12
    1085556 | 14451460.64
     574255 | 14448791.58
    1133163 | 14446449.19
    1314528 | 14425898.36
     693193 | 14424126.99
     971716 | 14417966.54
     858046 | 14410016.06
     927394 | 14399318.15
     495151 | 14381715.72
    1129604 | 14354290.82
    1296257 | 14346694.74
    1311466 | 14307150.37
    1138083 | 14294686.62
     903948 | 14255119.92
     175692 | 14228685.22
    1154763 | 14206430.88
     659069 | 14188443.95
     635685 | 14156890.91
    1572432 | 14146451.19
    1047735 | 14140008.22
     434492 | 14109278.42
    1456688 | 14103305.73
    1126898 | 14089900.86
     645648 | 14089646.07
     152848 | 14082733.78
     705461 | 14054594.32
    1502795 | 14044690.32
      98142 | 14031082.82
     325524 | 14017079.08
     948896 | 13981069.29
     692187 | 13979042.36
     642419 | 13975059.24
     766598 | 13974806.81
    1253449 | 13974001.66
     318292 | 13968210.95
     699098 | 13956547.10
    1016866 | 13938896.08
     819120 | 13851750.17
     128808 | 13843462.73
    1515959 | 13836850.34
    1473924 | 13827223.83
    1226338 | 13806988.01
     320261 | 13805051.68
     493469 | 13801816.44
      33215 | 13784238.48
    1109529 | 13765445.88
     119118 | 13739357.16
    1111292 | 13736067.09
    1106672 | 13731771.25
     764216 | 13686635.04
     717099 | 13685540.53
     875431 | 13675458.88
    1122782 | 13646448.40
     125001 | 13643913.17
     244906 | 13643729.86
     871530 | 13620619.57
     325435 | 13619168.42
    1594557 | 13601829.56
    1398132 | 13594126.14
    1481923 | 13567317.21
    1093178 | 13565093.88
     753489 | 13561408.84
     443745 | 13559237.70
      21126 | 13554684.35
    1533515 | 13540846.90
     236516 | 13522414.12
     990034 | 13510277.95
     322714 | 13509835.06
     534441 | 13493017.50
    1138744 | 13486615.80
     427880 | 13484673.12
     917099 | 13472195.66
     295418 | 13468610.78
    1399072 | 13464348.20
     172898 | 13463253.57
     848790 | 13462783.85
    1135144 | 13453053.12
    1534165 | 13441847.83
     821634 | 13441068.52
      12670 | 13433420.10
     312915 | 13426592.38
     180781 | 13413810.61
     960903 | 13412425.14
    1268169 | 13403789.55
      75754 | 13402944.84
    1431379 | 13400875.08
     222714 | 13391494.73
     565889 | 13364122.26
     589360 | 13353457.77
    1256776 | 13349551.61
     555182 | 13341569.73
     924201 | 13336393.11
     995164 | 13335616.94
     309586 | 13334652.60
     533481 | 13331116.52
     821647 | 13323564.32
    1527227 | 13315074.21
    1576149 | 13311087.96
    1212752 | 13308777.80
     587089 | 13302457.83
     259500 | 13275413.79
     223750 | 13266220.36
     366620 | 13261707.72
     786827 | 13244723.69
    1071172 | 13243779.88
     825777 | 13227781.06
      94689 | 13226316.40
