 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   9981.74 | Supplier#000012899        | SAUDI ARABIA              |     92898 | Manufacturer#5            | kzPUujl nyvLh6rchixdLZt4wLI8tQk,zrR 9    | 30-331-690-7770 |  final accounts. slyly ironic pinto beans nag. furiously 
   9981.74 | Supplier#000012899        | SAUDI ARABIA              |    197871 | Manufacturer#5            | kzPUujl nyvLh6rchixdLZt4wLI8tQk,zrR 9    | 30-331-690-7770 |  final accounts. slyly ironic pinto beans nag. furiously 
   9972.08 | Supplier#000015107        | IRAN                      |    155106 | Manufacturer#3            | amW3SM9SlD2Ky655VDbU4EGzvUmGpjXO49Xm6xeO | 20-972-735-1382 | ual accounts sleep alongside
   9972.04 | Supplier#000012927        | IRAN                      |      7926 | Manufacturer#4            | DRK,7vfLKQ YKAflicm217tPh Qp8BTb0UDrHGvh | 20-377-510-1047 | usual excuses across the even accounts are slyly 
   9958.10 | Supplier#000016053        | IRAN                      |    241016 | Manufacturer#2            | QnoygDVlJPX3kYQ                          | 20-105-930-8531 | slyly ironic dependencies play slowly pending, final pinto beans. dependencies slee
   9954.35 | Supplier#000003248        | SAUDI ARABIA              |    383247 | Manufacturer#2            | MgrlLKjfFaVF3qqeoSUL ATYGRCf             | 30-474-806-7433 | ironic packages. quickly regular pearls are quickly slyly ironic theodolites. foxes a
   9946.74 | Supplier#000005808        | SAUDI ARABIA              |    120801 | Manufacturer#1            | s 4icF7UIthw8OZB                         | 30-518-213-5617 | furiously. pending deposits run slyly above the slyly e
   9946.74 | Supplier#000005808        | SAUDI ARABIA              |    250771 | Manufacturer#1            | s 4icF7UIthw8OZB                         | 30-518-213-5617 | furiously. pending deposits run slyly above the slyly e
   9940.63 | Supplier#000016417        | EGYPT                     |    141395 | Manufacturer#1            | CYOn22bPeW9IVBK Mx                       | 14-454-677-3135 | uickly pending packages. stealthy account
   9940.41 | Supplier#000014625        | JORDAN                    |    244600 | Manufacturer#5            | RvXNbPNcIKZgMV6ohrvOGoIN1i1BHG1Mn        | 23-459-635-7749 |  slyly requests-- daringly special theodolites are carefully against the furiously 
   9939.09 | Supplier#000019167        | IRAN                      |    229144 | Manufacturer#5            | KockgPXM0Cr8oYYiBbc1PXIUAR2Vhorx,x6 3wL8 | 20-709-508-9316 | late blithely. final instructions cajole furiously after the carefully
   9915.48 | Supplier#000001523        | IRAN                      |    146501 | Manufacturer#3            |  vqDQGhm58v0                             | 20-315-869-6648 | ly regular theodolites. Tiresias cajole 
   9904.04 | Supplier#000014047        | JORDAN                    |    209036 | Manufacturer#5            | 9Z5Vr9wZQPj1DLanSFtCo3Izw8jg             | 23-985-646-4439 | , regular requests haggle quickly. regular warhorses eng
   9891.73 | Supplier#000011022        | EGYPT                     |    106016 | Manufacturer#4            | isVFVKHmprzvXnvqt,e                      | 14-161-548-7101 | n foxes affix quickly at the regular requests. permanently 
   9889.10 | Supplier#000007220        | EGYPT                     |     62216 | Manufacturer#4            | ,7dILJeEhKrHly2nD2K7BXNrioZ2w            | 14-575-445-3713 | ccording to the final realms are furiously unus
   9882.68 | Supplier#000002753        | JORDAN                    |    362752 | Manufacturer#2            | Q6D89sklsThNCyo7VY                       | 23-732-338-4999 | fily. pinto beans affix furiously across the blithely regular theodol
   9880.70 | Supplier#000007382        | SAUDI ARABIA              |    147381 | Manufacturer#3            | p9BaidBFCsmn                             | 30-115-989-9371 | counts serve carefully fu
   9877.13 | Supplier#000015239        | EGYPT                     |    365202 | Manufacturer#5            | Tzrn1D6D6LMhzdsshdGFk tF                 | 14-856-702-5090 |  inside the ironic accounts. ironic packages do are carefully. furiously regular packa
   9858.13 | Supplier#000011670        | SAUDI ARABIA              |    241645 | Manufacturer#3            | nEEMUY6FKt                               | 30-146-572-7596 | lar ideas are after the ironic, regular requests. iro
   9855.10 | Supplier#000010987        | IRAQ                      |    270986 | Manufacturer#5            | c8HW1,7o1yBLlBnZP8sluJcigpBY             | 21-491-840-7176 |  quickly. regular, express asymptotes beside the ruthlessly regular de
   9852.78 | Supplier#000018771        | IRAQ                      |    213760 | Manufacturer#3            | dfkT3AzyaVAYHTA,                         | 21-208-628-5550 | ven notornis boost slyly; even requests integrate according to the silent, stealthy accounts.
   9850.03 | Supplier#000011846        | JORDAN                    |    316800 | Manufacturer#3            | nfowJ8YDYTtMbe3HR                        | 23-448-271-6042 | hely even packages. slyly ironic dependencies around
