 l_orderkey |   revenue   | o_orderdate | o_shippriority 
------------+-------------+-------------+----------------
    9727175 | 428024.1444 | 1995-03-18  |              0
    9412902 | 407866.2993 | 1995-02-15  |              0
    4455783 | 406352.2315 | 1995-03-20  |              0
   11058368 | 391493.8116 | 1995-03-09  |              0
    3619079 | 389540.5408 | 1995-03-25  |              0
    2487429 | 388450.5174 | 1995-03-22  |              0
    8488805 | 381465.1628 | 1995-03-14  |              0
   11748997 | 381372.6026 | 1995-03-16  |              0
    1722688 | 376179.7911 | 1995-03-25  |              0
    3837441 | 372699.7581 | 1995-02-14  |              0
    5168933 | 372349.7828 | 1995-03-20  |              0
   11527424 | 369147.5928 | 1995-03-17  |              0
     181414 | 365902.8030 | 1995-03-08  |              0
    3973156 | 365596.0780 | 1995-03-27  |              0
    6953059 | 361707.1748 | 1995-02-05  |              0
   10824866 | 361690.9578 | 1995-03-26  |              0
   11472517 | 361559.3280 | 1995-03-21  |              0
    4455744 | 359879.0100 | 1995-03-09  |              0
     191783 | 358718.5406 | 1995-02-27  |              0
    2617473 | 358504.6202 | 1995-03-26  |              0
    4613219 | 358463.6940 | 1995-03-10  |              0
    8545892 | 355960.7883 | 1995-03-26  |              0
    2435712 | 355818.2358 | 1995-02-26  |              0
    4676933 | 354750.8871 | 1995-02-07  |              0
    7538533 | 354277.3744 | 1995-03-15  |              0
    4035457 | 353264.8048 | 1995-03-24  |              0
    2806784 | 353048.8070 | 1995-03-18  |              0
    8269252 | 352710.4928 | 1995-03-04  |              0
... (truncated, full output was    22910 lines) ...
